table_name,field_name,language,record_id,translation
routes,route_url,en,97,https://www.stm.info/en/info/networks/bus
directions,direction,en,97_0,East
directions,direction,en,97_1,West
routes,route_desc,en,97,Rush-hour high-frequency
routes,route_desc_detail,en,97,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,99,https://www.stm.info/en/info/networks/bus
directions,direction,en,99_0,East
directions,direction,en,99_1,West
routes,route_desc,en,99,Day
routes,route_desc_detail,en,99,Day routes only
routes,route_url,en,100,https://www.stm.info/en/info/networks/bus
directions,direction,en,100_0,East
directions,direction,en,100_1,West
routes,route_desc,en,100,Day
routes,route_desc_detail,en,100,Day routes only
routes,route_url,en,101,https://www.stm.info/en/info/networks/bus
directions,direction,en,101_0,East
directions,direction,en,101_1,West
routes,route_desc,en,101,Day
routes,route_desc_detail,en,101,Day routes only
routes,route_url,en,102,https://www.stm.info/en/info/networks/bus
directions,direction,en,102_0,East
directions,direction,en,102_1,West
routes,route_desc,en,102,Day
routes,route_desc_detail,en,102,Day routes only
routes,route_url,en,103,https://www.stm.info/en/info/networks/bus
directions,direction,en,103_0,East
directions,direction,en,103_1,West
routes,route_desc,en,103,Rush-hour high-frequency
routes,route_desc_detail,en,103,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,104,https://www.stm.info/en/info/networks/bus
directions,direction,en,104_0,East
directions,direction,en,104_1,West
routes,route_desc,en,104,Day
routes,route_desc_detail,en,104,Day routes only
routes,route_url,en,105,https://www.stm.info/en/info/networks/bus
directions,direction,en,105_0,East
directions,direction,en,105_1,West
routes,route_desc,en,105,All-day high-frequency
routes,route_desc_detail,en,105,Departures every 2 to 12 minutes Monday through Friday between 6am and 8pm (in both directions)
routes,route_url,en,106,https://www.stm.info/en/info/networks/bus
directions,direction,en,106_0,East
directions,direction,en,106_1,West
routes,route_desc,en,106,Rush-hour high-frequency
routes,route_desc_detail,en,106,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,107,https://www.stm.info/en/info/networks/bus
directions,direction,en,107_0,West
directions,direction,en,107_1,East
routes,route_desc,en,107,Rush-hour high-frequency
routes,route_desc_detail,en,107,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,108,https://www.stm.info/en/info/networks/bus
directions,direction,en,108_0,East
directions,direction,en,108_1,West
routes,route_desc,en,108,Day
routes,route_desc_detail,en,108,Day routes only
routes,route_url,en,110,https://www.stm.info/en/info/networks/bus
directions,direction,en,110_0,East
directions,direction,en,110_1,West
routes,route_desc,en,110,Day
routes,route_desc_detail,en,110,Day routes only
routes,route_url,en,112,https://www.stm.info/en/info/networks/bus
directions,direction,en,112_0,East
directions,direction,en,112_1,West
routes,route_desc,en,112,Rush-hour high-frequency
routes,route_desc_detail,en,112,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,113,https://www.stm.info/en/info/networks/bus
directions,direction,en,113_0,East
directions,direction,en,113_1,West
routes,route_desc,en,113,Day
routes,route_desc_detail,en,113,Day routes only
routes,route_url,en,114,https://www.stm.info/en/info/networks/bus
directions,direction,en,114_0,South
directions,direction,en,114_1,North
routes,route_desc,en,114,Day
routes,route_desc_detail,en,114,Day routes only
routes,route_url,en,117,https://www.stm.info/en/info/networks/bus
directions,direction,en,117_0,South
directions,direction,en,117_1,North
routes,route_desc,en,117,Day
routes,route_desc_detail,en,117,Day routes only
routes,route_url,en,119,https://www.stm.info/en/info/networks/bus
