route_direction_id,route_id,direction_id,direction,direction_legacy
174_0,174,0,Est,EAST
174_1,174,1,Ouest,WEST
175_0,175,0,Est,EAST
175_1,175,1,Ouest,WEST
176_0,176,0,Sud,SOUTH
176_1,176,1,Nord,NORTH
177_0,177,0,Est,EAST
177_1,177,1,Ouest,WEST
179_0,179,0,Sud,SOUTH
179_1,179,1,Nord,NORTH
180_0,180,0,Est,EAST
180_1,180,1,Ouest,WEST
183_0,183,0,Est,EAST
183_1,183,1,Ouest,WEST
185_0,185,0,Est,EAST
185_1,185,1,Ouest,WEST
186_0,186,0,Est,EAST
186_1,186,1,Ouest,WEST
187_0,187,0,Est,EAST
187_1,187,1,Ouest,WEST
188_0,188,0,Est,EAST
188_1,188,1,Ouest,WEST
189_0,189,0,Est,EAST
189_1,189,1,Ouest,WEST
190_0,190,0,Est,EAST
190_1,190,1,Ouest,WEST
192_0,192,0,Est,EAST
192_1,192,1,Ouest,WEST
193_0,193,0,Est,EAST
193_1,193,1,Ouest,WEST
195_0,195,0,Est,EAST
195_1,195,1,Ouest,WEST
196_0,196,0,Sud,SOUTH
196_1,196,1,Nord,NORTH
197_0,197,0,Est,EAST
197_1,197,1,Ouest,WEST
198_0,198,0,Est,EAST
198_1,198,1,Ouest,WEST
200_0,200,0,Est,EAST
200_1,200,1,Ouest,WEST
201_0,201,0,Nord,NORTH
201_1,201,1,Sud,SOUTH
202_0,202,0,Est,EAST
202_1,202,1,Ouest,WEST
203_0,203,0,Est,EAST
203_1,203,1,Ouest,WEST
204_0,204,0,Est,EAST
204_1,204,1,Ouest,WEST
205_0,205,0,Est,EAST
205_1,205,1,Ouest,WEST
206_0,206,0,Est,EAST
206_1,206,1,Ouest,WEST
207_0,207,0,Sud,SOUTH
207_1,207,1,Nord,NORTH
208_0,208,0,Est,EAST
208_1,208,1,Ouest,WEST
209_0,209,0,Sud,SOUTH
209_1,209,1,Nord,NORTH
210_0,210,0,Est,EAST
210_1,210,1,Ouest,WEST
211_0,211,0,Est,EAST
211_1,211,1,Ouest,WEST
212_0,212,0,Sud,SOUTH
212_1,212,1,Nord,NORTH
214_0,214,0,Est,EAST
214_1,214,1,Ouest,WEST
215_0,215,0,Est,EAST
215_1,215,1,Ouest,WEST
216_0,216,0,Est,EAST
216_1,216,1,Ouest,WEST
218_0,218,0,Est,EAST
218_1,218,1,Ouest,WEST
220_0,220,0,Est,EAST
220_1,220,1,Ouest,WEST
221_0,221,0,Nord,NORTH
221_1,221,1,Sud,SOUTH
222_0,222,0,Ouest,WEST
222_1,222,1,Est,EAST
223_0,223,0,Ouest,WEST
223_1,223,1,Est,EAST
225_0,225,0,Est,EAST
225_1,225,1,Ouest,WEST
227_0,227,0,Sud,SOUTH
227_1,227,1,Nord,NORTH
229_0,229,0,Est,EAST
229_1,229,1,Ouest,WEST
230_0,230,0,Est,EAST
230_1,230,1,Ouest,WEST
350_0,350,0,Est,EAST
350_1,350,1,Ouest,WEST
353_0,353,0,Est,EAST
353_1,353,1,Ouest,WEST
354_0,354,0,Est,EAST
354_1,354,1,Ouest,WEST
355_0,355,0,Sud,SOUTH
355_1,355,1,Nord,NORTH
356_0,356,0,Est,EAST
356_1,356,1,Ouest,WEST
357_0,357,0,Sud,SOUTH
357_1,357,1,Nord,NORTH
358_0,358,0,Est,EAST
358_1,358,1,Ouest,WEST
359_0,359,0,Sud,SOUTH
359_1,359,1,Nord,NORTH
360_0,360,0,Est,EAST
360_1,360,1,Ouest,WEST
361_0,361,0,Sud,SOUTH
361_1,361,1,Nord,NORTH
362_0,362,0,Ouest,WEST
362_1,362,1,Est,EAST
363_0,363,0,Sud,SOUTH
363_1,363,1,Nord,NORTH
364_0,364,0,Est,EAST
364_1,364,1,Ouest,WEST
365_0,365,0,Sud,SOUTH
365_1,365,1,Nord,NORTH
368_0,368,0,Est,EAST
368_1,368,1,Ouest,WEST
369_0,369,0,Sud,SOUTH
369_1,369,1,Nord,NORTH
370_0,370,0,Est,EAST
370_1,370,1,Ouest,WEST
371_0,371,0,Sud,SOUTH
371_1,371,1,Nord,NORTH
372_0,372,0,Est,EAST
372_1,372,1,Ouest,WEST
376_0,376,0,Est,EAST
376_1,376,1,Ouest,WEST
378_0,378,0,Est,EAST
378_1,378,1,Ouest,WEST
380_0,380,0,Est,EAST
380_1,380,1,Ouest,WEST
382_0,382,0,Est,EAST
382_1,382,1,Ouest,WEST
410_0,410,0,Est,EAST
410_1,410,1,Ouest,WEST
411_0,411,0,Est,EAST
411_1,411,1,Ouest,WEST
420_0,420,0,Ouest,WEST
420_1,420,1,Est,EAST
428_0,428,0,Sud,SOUTH
428_1,428,1,Nord,NORTH
430_0,430,0,Est,EAST
430_1,430,1,Ouest,WEST
432_0,432,0,Sud,SOUTH
432_1,432,1,Nord,NORTH
439_0,439,0,Sud,SOUTH
439_1,439,1,Nord,NORTH
440_0,440,0,Est,EAST
440_1,440,1,Ouest,WEST
444_0,444,0,Nord,NORTH
444_1,444,1,Sud,SOUTH
445_0,445,0,Ouest,WEST
445_1,445,1,Est,EAST
448_0,448,0,Ouest,WEST
448_1,448,1,Est,EAST
449_0,449,0,Sud,SOUTH
449_1,449,1,Nord,NORTH
460_0,460,0,Est,EAST
460_1,460,1,Ouest,WEST
467_0,467,0,Sud,SOUTH
467_1,467,1,Nord,NORTH
468_0,468,0,Est,EAST
468_1,468,1,Ouest,WEST
469_0,469,0,Est,EAST
469_1,469,1,Ouest,WEST
470_0,470,0,Est,EAST
470_1,470,1,Ouest,WEST
475_0,475,0,Est,EAST
475_1,475,1,Ouest,WEST
480_0,480,0,Sud,SOUTH
480_1,480,1,Nord,NORTH
486_0,486,0,Est,EAST
486_1,486,1,Ouest,WEST
487_0,487,0,Est,EAST
487_1,487,1,Ouest,WEST
491_0,491,0,Est,EAST
491_1,491,1,Ouest,WEST
496_0,496,0,Est,EAST
496_1,496,1,Ouest,WEST
711_0,711,0,Est,EAST
711_1,711,1,Ouest,WEST
747_0,747,0,Est - Vers le centre-ville de Montréal,EAST
747_1,747,1,Ouest - Vers YUL aéroport Montréal-Trudeau,WEST
767_0,767,0,Est,EAST
767_1,767,1,Ouest,WEST
768_0,768,0,Est,EAST
768_1,768,1,Ouest,WEST
769_0,769,0,Sud,SOUTH
769_1,769,1,Nord,NORTH
777_0,777,0,Est,EAST
777_1,777,1,Ouest,WEST
811_0,811,0,Ouest,WEST
811_1,811,1,Est,EAST
814_0,814,0,Est,EAST
814_1,814,1,Ouest,WEST
815_0,815,0,Nord,NORTH
815_1,815,1,Sud,SOUTH
822_0,822,0,Boucle - Secteur Longue-Pointe,SOUTH
872_0,872,0,Nord,NORTH
872_1,872,1,Sud,SOUTH
